controlNumber,prefLabel,scopeNote,prefLabelEnglish,embeddingPromptEnglish,translationModel,translationPromptVersion
355065,1300-talet,Allmänt kronologiskt ämnesord.,14th century,A photograph depicting 14th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395836,"1368-1644 (Mingdynastin, Kina)",Kronologiskt ämnesord för Kina.,Ming dynasty China 1368-1644,A photograph depicting Ming dynasty China 1368-1644.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355786,"1399-1485 (Lancaster och York, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,Lancaster and York periods 1399-1485 England,A photograph depicting Lancaster and York periods 1399-1485 England.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355066,1400-talet,Allmänt kronologiskt ämnesord.,15th century,A photograph depicting 15th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400113,1479-1516 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.,Spain 1479-1516,A photograph depicting Spain 1479-1516.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357828,"1485-1603 (Tudortiden, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,Tudor period 1485-1603 England,A photograph depicting Tudor period 1485-1603 England.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355083,1500-1800,Allmänt kronologiskt ämnesord.,1500-1800,A photograph depicting 1500-1800.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355067,1500-talet,Allmänt kronologiskt ämnesord.,16th century,A photograph depicting 16th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357830,"1509-1547 (Henrik VIII, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,Henry VIII 1509-1547 England,A photograph depicting Henry VIII 1509-1547 England.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400114,1516-1700 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.,Spain 1516-1700,A photograph depicting Spain 1516-1700.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357849,1517-1648 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,1517-1648 Germany,A photograph depicting 1517-1648 Germany.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398954,1517-1882 (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.,1517-1882 Egypt,A photograph depicting 1517-1882 Egypt.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
399994,"1520-1611 (Vasatiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,Vasa era Finland,A photograph depicting Vasa era Finland.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355777,"1520-1611 (Vasatiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.,Vasa era Sweden,A photograph depicting Vasa era Sweden.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357831,"1558-1603 (Elisabet I, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,Elizabeth I 1558-1603 England,A photograph depicting Elizabeth I 1558-1603 England.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
299002,"1600-1868 (Edoperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,"1600-1868 (Edo period, Japan)","A photograph depicting 1600-1868 (Edo period, Japan).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355068,1600-talet,Allmänt kronologiskt ämnesord.,17th century,A photograph depicting 17th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357832,"1603-1714 (Stuarttiden, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,Stuart era England,A photograph depicting Stuart era England.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400004,"1611-1718 (stormaktstiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,Finland during 1611-1718,A photograph depicting Finland during 1611-1718.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355778,"1611-1718 (stormaktstiden, Sverige)",Kronologiskt ämnesord för Sverige. Kompletterarmed geografiskt ämnesord.,Swedish golden age 1611-1718,A photograph depicting Swedish golden age 1611-1718.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357833,"1642-1660 (Puritanska revolutionen, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,English Civil War (1642-1660),A photograph depicting English Civil War (1642-1660).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395867,"1644-1912 (Qingdynastin, Kina)",Kronologiskt ämnesord för Kina. Kompletteras med geografiskt ämnesord.,Qing dynasty China 1644-1912,A photograph depicting Qing dynasty China 1644-1912.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357850,1648-1806 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,1648-1806 Germany,A photograph depicting 1648-1806 Germany.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400011,"1654-1718 (karolinska tiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,"1654-1718 (carolinian period, finland)","A photograph depicting 1654-1718 (carolinian period, finland).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355779,"1654-1718 (karolinska tiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.,Caroline era 1654-1718 Sweden,A photograph depicting Caroline era 1654-1718 Sweden.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357834,1660-1714 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,1660-1714 (Britain),A photograph depicting 1660-1714 (Britain).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
286810,16PF,,16PF,A photograph depicting 16PF.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
402696,"1700- (Bourbon, Spanien)",Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.,spanish bourbon succession 1700-,A photograph depicting spanish bourbon succession 1700-.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355074,1700-talet,Allmänt kronologiskt ämnesord.,18th century,A photograph depicting 18th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357835,1714-1815 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,1714-1815 (Britain),A photograph depicting 1714-1815 (Britain).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400013,"1718-1772 (frihetstiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,"1718-1772 (age of freedom, finland)","A photograph depicting 1718-1772 (age of freedom, finland).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355781,"1718-1772 (frihetstiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.,"1718-1772 (age of liberty, sweden)","A photograph depicting 1718-1772 (age of liberty, sweden).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400017,"1772-1809 (gustavianska tiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,Gustavian era 1772-1809 Finland,A photograph depicting Gustavian era 1772-1809 Finland.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355784,"1772-1809 (gustavianska tiden, Sverige)",Kronologiskt ämnesord för Sverige. Komplettera med geografiskt ämnesord.,Gustavian era 1772-1809 Sweden,A photograph depicting Gustavian era 1772-1809 Sweden.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
139402,"-1789 (ancien régime, Frankrike)",,ancient regime 1789 France,A photograph depicting ancient regime 1789 France.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355075,1789-1815,Allmänt kronologiskt ämnesord.,French Revolutionary Wars,A photograph depicting French Revolutionary Wars.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
150901,"1799-1815 (konsulatet och kejsardömet, Frankrike)",,French consulate and empire 1799-1815,A photograph depicting French consulate and empire 1799-1815.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357836,1800-1914 (Storbritannien),Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,1800-1914 (Britain),A photograph depicting 1800-1914 (Britain).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355084,1800-talet,Allmänt kronologiskt ämnesord.,19th century,A photograph depicting 19th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357851,1806-1870 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,1806-1870 Germany,A photograph depicting 1806-1870 Germany.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355785,"1809-1917 (kejsartiden, Finland)",Kronologiskt ämnesord för Finland. Kompletteras med geografiskt ämnesord.,finnish imperial period 1809-1917,A photograph depicting finnish imperial period 1809-1917.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
346871,1812 års krig,,War of 1812,A photograph depicting War of 1812.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
286344,1812 års politik (Sverige),,1812 politics (Sweden),A photograph depicting 1812 politics (Sweden).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
402698,"1814-1830 (restaurationen, Frankrike)",,Restoration period 1814-1830 France,A photograph depicting Restoration period 1814-1830 France.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357837,"1837-1901 (Viktoria, Storbritannien)",Kronologiskt ämnesord för Storbritannien. Komplettera med geografiskt ämnesord.,Victoria 1837-1901 (Britain),A photograph depicting Victoria 1837-1901 (Britain).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
384199,1850-talet,,1850s,A photograph depicting 1850s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
139431,"1852-1870 (andra kejsardömet, Frankrike)",,Second Empire France 1852-1870,A photograph depicting Second Empire France 1852-1870.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
405506,1861-1912 (Kina),Kronologiskt ämnesord för Kina.,1861-1912 China,A photograph depicting 1861-1912 China.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398849,-1868 (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,19th century Japan,A photograph depicting 19th century Japan.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398831,1868- (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,Japan 1868-,A photograph depicting Japan 1868-.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398850,"1868-1912 (Meijiperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,Meiji period Japan 1868-1912,A photograph depicting Meiji period Japan 1868-1912.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355086,1870-1914,Allmänt kronologiskt ämnesord.,1870-1914,A photograph depicting 1870-1914.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357852,"1870-1918 (andra kejsardömet, Tyskland)",Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,German Empire 1870-1918,A photograph depicting German Empire 1870-1918.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
159704,"1870-1940 (tredje republiken, Frankrike)",,third republic france 1870-1940,A photograph depicting third republic france 1870-1940.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
ct2vjwm09lvb4hld,"1878-1960 (Brittiska väldet, Cypern)",Kronologiskt ämnesord för Cypern. Komplettera med geografiskt ämnesord.,British rule in Cyprus 1878-1960,A photograph depicting British rule in Cyprus 1878-1960.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355087,1880-talet,Allmänt kronologiskt ämnesord.,1880s,A photograph depicting 1880s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398956,"1882-1936 (Brittisk ockupation, Egypten)",Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.,British occupation of Egypt 1882-1936,A photograph depicting British occupation of Egypt 1882-1936.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355088,1890-talet,Allmänt kronologiskt ämnesord.,1890s,A photograph depicting 1890s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355090,1900-1945,Allmänt kronologiskt ämnesord.,early_20th_century,A photograph depicting early_20th_century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355089,1900-talet,Allmänt kronologiskt ämnesord.,20th century,A photograph depicting 20th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355092,1910-talet,Allmänt kronologiskt ämnesord.,1910s,A photograph depicting 1910s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398854,1912-1945 (Japan),Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,Japan 1912-1945,A photograph depicting Japan 1912-1945.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395872,"1912-1949 (Republiken Kina, Kina)",Kronologiskt ämnesord för Kina,China 1912-1949,A photograph depicting China 1912-1949.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355093,1914-1918 (första världskriget),"Allmänt kronologiskt ämnesord. | För verk om själva kriget, se det allmänna ämnesordet Första världskriget 1914-1918.",World War I 1914-1918,A photograph depicting World War I 1914-1918.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357853,"1918-1933 (Weimarrepubliken, Tyskland)",Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,Weimar Republic 1918-1933 Germany,A photograph depicting Weimar Republic 1918-1933 Germany.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355094,1918-1939 (mellankrigstiden),Allmänt kronologiskt ämnesord.,interwar period 1918-1939,A photograph depicting interwar period 1918-1939.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355095,1920-talet,Allmänt kronologiskt ämnesord.,1920s,A photograph depicting 1920s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398860,"1926-1989 (Showaperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,1926-1989 showa period japan,A photograph depicting 1926-1989 showa period japan.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395875,1928-1937 (Kina),,1928-1937 China,A photograph depicting 1928-1937 China.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355096,1930-talet,Allmänt kronologiskt ämnesord.,1930s,A photograph depicting 1930s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400120,1931-1939 (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.,spanish civil war 1931-1939,A photograph depicting spanish civil war 1931-1939.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357854,1933-1945 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,1933-1945 Germany,A photograph depicting 1933-1945 Germany.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395876,"1937-1945 (kinesisk-japanska kriget 1937-1945, Kina)",Kronologiskt ämnesord för Kina. Se även det allmänna ämnesordet Kinesisk-japanska kriget 1937-1945.,Second Sino-Japanese War China 1937-1945,A photograph depicting Second Sino-Japanese War China 1937-1945.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355098,1939-1945 (andra världskriget),"Allmänt kronologiskt ämnesord. | För verk om själva kriget, se det allmänna ämnesordet Andra världskriget (1939-1945).",World War II 1939-1945,A photograph depicting World War II 1939-1945.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
385171,"1939-1975 (Francoepoken, Spanien)",Kronologiskt ämnesord för Spanien. Kompletteras med geografiskt ämnesord.,"1939-1975 (Franco era, Spain)","A photograph depicting 1939-1975 (Franco era, Spain).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355099,1940-talet,Allmänt kronologiskt ämnesord.,1940s,A photograph depicting 1940s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355100,1945-,Allmänt kronologiskt ämnesord.,post_1945,A photograph depicting post_1945.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355101,1945-1970,Allmänt kronologiskt ämnesord.,post-war era,A photograph depicting post-war era.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355102,1945-1990,Allmänt kronologiskt ämnesord.,post-war era,A photograph depicting post-war era.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
401966,1945-1990 (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,post-war Germany 1945-1990,A photograph depicting post-war Germany 1945-1990.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395885,"1949- (Folkrepubliken Kina, Kina)",Kronologiskt ämnesord för Kina.,People's Republic of China 1949-,A photograph depicting People's Republic of China 1949-.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395904,1949-1976 (Kina),Kronologiskt ämnesord för Kina.,1949-1976 China,A photograph depicting 1949-1976 China.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355103,1950-talet,Allmänt kronologiskt ämnesord.,1950s,A photograph depicting 1950s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355104,1960-talet,Allmänt kronologiskt ämnesord.,1960s,A photograph depicting 1960s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
j0g7fmjrg17vqm3h,"1967-1974 (militärjuntan, Grekland)",Kronologiskt ämnesord för Grekland. Kompletteras med geografiskt ämnesord.,1967-1974 (greek junta),A photograph depicting 1967-1974 (greek junta).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
245040,1968,Hit verk om de samlade politiska och kulturella händelserna 1968.,1968 protests,A photograph depicting 1968 protests.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355105,1970-talet,Allmänt kronologiskt ämnesord.,1970s,A photograph depicting 1970s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
400134,1975- (Spanien),Kronologiskt ämnesord för Spanien. Komplettera med geografiskt ämnesord.,Spain 1975-,A photograph depicting Spain 1975-.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395908,1976-2002 (Kina),Kronologiskt ämnesord för Kina.,China 1976-2002,A photograph depicting China 1976-2002.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355106,1980-talet,Allmänt kronologiskt ämnesord.,1980s,A photograph depicting 1980s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
hz267v55f00qdwv1,"1989-2019 (Heiseiperioden, Japan)",Kronologiskt ämnesord för Japan. Kompletteras med geografiskt ämnesord.,"1989-2019 (Heisei period, Japan)","A photograph depicting 1989-2019 (Heisei period, Japan).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
357856,1990- (Tyskland),Kronologiskt ämnesord för Tyskland. Komplettera med geografiskt ämnesord.,Germany 1990-,A photograph depicting Germany 1990-.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355107,1990-talet,Allmänt kronologiskt ämnesord.,1990s,A photograph depicting 1990s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
373774,2-step,,two-step,A photograph depicting two-step.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355053,200-talet,Allmänt kronologiskt ämnesord.,19th century,A photograph depicting 19th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355045,200-talet f.Kr.,Används för åren 299-200 f.Kr. | Allmänt kronologiskt ämnesord.,200 BC era,A photograph depicting 200 BC era.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355108,2000-talet,Allmänt kronologiskt ämnesord.,twenty-first century,A photograph depicting twenty-first century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395957,2002- (Kina),Kronologiskt ämnesord för Kina.,China 2002-,A photograph depicting China 2002-.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355111,2010-talet,Allmänt kronologiskt ämnesord.,2010s,A photograph depicting 2010s.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395806,"202 f.Kr.-220 e.Kr. (Handynastin, Kina)",Kronologiskt ämnesord för Kina.,"202 BCE-220 CE (Han Dynasty, China)","A photograph depicting 202 BCE-220 CE (Han Dynasty, China).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
6k1dxg734304gwww,2020-talet,Allmänt kronologiskt ämnesord.,twenty twenties,A photograph depicting twenty twenties.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398927,"2040-1675 f.Kr. (Mellersta riket, Egypten)",Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.,Middle Kingdom Egypt 2040-1675 BCE,A photograph depicting Middle Kingdom Egypt 2040-1675 BCE.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395808,"220-265 (De tre kungadömena, Kina)",Kronologiskt ämnesord för Kina.,Chinese Three Kingdoms period (220-265),A photograph depicting Chinese Three Kingdoms period (220-265).,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395811,"220-589 (De sex dynastierna, Kina)",Kronologiskt ämnesord för Kina.,Chinese six dynasties 220-589,A photograph depicting Chinese six dynasties 220-589.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395791,-221 f.Kr. (Kina),Kronologiskt ämnesord för Kina.,-221 BCE China,A photograph depicting -221 BCE China.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
395813,221 f.Kr.-960 e.Kr. (Kina),Kronologiskt ämnesord för Kina.,Ancient China 221 BC-960 AD,A photograph depicting Ancient China 221 BC-960 AD.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
317085,"221-207 f.Kr. (Qindynastin, Kina)",Kronologiskt ämnesord för Kina. Kombineras med geografiskt ämnesord.,"221-207 BCE (Qin Dynasty, China)","A photograph depicting 221-207 BCE (Qin Dynasty, China).",Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355457,"265-31 f.Kr. (senrepubliken, Romerska riket)",Kronologiskt ämnesord för Romerska riket.,late roman republic 265-31 bc,A photograph depicting late roman republic 265-31 bc.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355461,"27 f.Kr.-284 e.Kr. (principatet, Romerska riket)",Kronologiskt ämnesord för Romerska riket.,Roman Empire 27 BC-284 AD,A photograph depicting Roman Empire 27 BC-284 AD.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398925,"2700-2270 f.Kr. (Gamla riket, Egypten)",Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.,Ancient Egypt 2700-2270 BCE,A photograph depicting Ancient Egypt 2700-2270 BCE.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355462,"284-476 e.Kr. (dominatet, Romerska riket)",Kronologiskt ämnesord för Romerska riket.,Roman Empire 284-476 CE,A photograph depicting Roman Empire 284-476 CE.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
235711,30 f.Kr.-640 e.Kr. (Egypten),Kronologiskt ämnesord för Egypten. Kompletteras med geografiskt ämnesord.,Ancient Egypt 30 BC-640 AD,A photograph depicting Ancient Egypt 30 BC-640 AD.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355054,300-talet,Allmänt kronologiskt ämnesord.,17th century,A photograph depicting 17th century.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355044,300-talet f.Kr.,Används för åren 399-300 f.Kr. | Allmänt kronologiskt ämnesord.,4th century BCE,A photograph depicting 4th century BCE.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
355460,"31 f.Kr.-476 e.Kr. (kejsartiden, Romerska riket)",Kronologiskt ämnesord för Romerska riket.,Roman Empire 31 BC-476 AD,A photograph depicting Roman Empire 31 BC-476 AD.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
